Name,Profession,Dob,picture,notable_work
Richard Moll,Actor,1943-1-13,"https://m.media-amazon.com/images/M/MV5BMTM5NTc2Mjg5MV5BMl5BanBnXkFtZTcwNzY2MDQ4NA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Scary Movie 2,The Flintstones,Jingle All the Way,House"
Myrna Loy,Actress,1905-8-2,"https://m.media-amazon.com/images/M/MV5BMjAwMzU0NjY4NF5BMl5BanBnXkFtZTYwNDE3NjQ2._V1_UY317_CR6,0,214,317_AL__QL50.jpg","The Thin Man,The Best Years of Our Lives,Libeled Lady,Mr. Blandings Builds His Dream House"
Steve Kazee,Actor,1975-10-30,"https://m.media-amazon.com/images/M/MV5BMTUzNTY0ODgyM15BMl5BanBnXkFtZTgwNjI4ODA5NzE@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Shameless,The Walking Dead,Nashville,Blindspot"
Emma Bell,Actress,1986-12-17,"https://m.media-amazon.com/images/M/MV5BMDdmMjU0YWItZDhlYS00N2NiLTg1NjUtMzc3YTFiODJiNzhhXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Walking Dead,A Quiet Passion,Dallas,Final Destination 5"
Courtney Gains,Actor,1965-8-22,"https://m.media-amazon.com/images/M/MV5BMTQ1ODkzODQxNV5BMl5BanBnXkFtZTYwNDc2Njcz._V1_UY317_CR1,0,214,317_AL__QL50.jpg","The 'Burbs,Back to the Future,Can't Buy Me Love,Children of the Corn"
Amara Karan,Actress,1984-0-0,"https://m.media-amazon.com/images/M/MV5BNjkzMzcwNzY5M15BMl5BanBnXkFtZTgwMDA0MDcwMTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Darjeeling Limited,A Fantastic Fear of Everything,Stan Lee's Lucky Man,St. Trinian's"
Ralph Waite,Actor,1928-6-22,"https://m.media-amazon.com/images/M/MV5BMjM2ODEyMDU5OF5BMl5BanBnXkFtZTgwNzQyNjkxMTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Waltons,The Bodyguard,On the Nickel,Cliffhanger"
Joanna Kulig,Actress,1982-6-24,"https://m.media-amazon.com/images/M/MV5BYWNkNzBhNDktMTdjMC00MjQ0LWFhZmYtZWRkZDllMjRiYmRiXkEyXkFqcGdeQXVyMzM1MDY5Njc@._V1_UY317_CR29,0,214,317_AL__QL50.jpg",Cold War
Constance Marie,Actress,1965-9-9,"https://m.media-amazon.com/images/M/MV5BMTIxNGI1ZmEtMzNlMi00OTViLWI3YzItZGM4MTYwMWUwZGRhXkEyXkFqcGdeQXVyODI5ODIzNDA@._V1_UY317_CR42,0,214,317_AL__QL50.jpg","George Lopez,Switched at Birth,Selena,American Family"
Daniel Wu,Actor,1974-9-30,"https://m.media-amazon.com/images/M/MV5BMTIzNTk3NTA2Ml5BMl5BanBnXkFtZTYwODI2MTY1._V1_UY317_CR8,0,214,317_AL__QL50.jpg","Warcraft,Europa Report,The Man with the Iron Fists,Tomb Raider"
Meaghan Martin,Actress,1992-2-17,"https://m.media-amazon.com/images/M/MV5BYjMzYTI0YzEtOGI1OS00Zjk0LWExMzktMDNiYzk3NDc3Njk5XkEyXkFqcGdeQXVyNjk2OTUyODc@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","Camp Rock,Until Dawn,Dear Lemon Lima,10 Things I Hate About You"
George Wendt,Actor,1948-10-17,"https://m.media-amazon.com/images/M/MV5BMTIyODgzNDY1MF5BMl5BanBnXkFtZTYwMTYwMjE1._V1_UY317_CR18,0,214,317_AL__QL50.jpg","Cheers,Fletch,Forever Young,Spice World"
Mark Stanley,Actor,,"https://m.media-amazon.com/images/M/MV5BMTEzNTI5YzEtYmVkMS00YjE4LTkwZTQtMjU0MGZjOTBhM2U1XkEyXkFqcGdeQXVyMzY4NzA3MTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Run,Sulphur and White,Dark River,Kilo Two Bravo"
Marion Ross,Actress,1928-10-25,"https://m.media-amazon.com/images/M/MV5BMTI4NTU1MDM4N15BMl5BanBnXkFtZTYwNzU3MTU0._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Superhero Movie,The Evening Star,Happy Days,Brooklyn Bridge"
Lark Voorhies,Actress,1974-3-25,"https://m.media-amazon.com/images/M/MV5BMjI1MzgyMzE3Nl5BMl5BanBnXkFtZTcwOTc1MDQ4Nw@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","Saved by the Bell,How High,Good Morning, Miss Bliss,Days of Our Lives"
Roger Clark,Actor,,"https://m.media-amazon.com/images/M/MV5BODk4NjEzY2UtMjQxZi00OTJkLThiOTMtMGYwMDVkYWMwMTU4XkEyXkFqcGdeQXVyMjQ0MjQxMDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Red Dead Redemption II,Law & Order: Special Victims Unit,A Midsummer Night's Dream,Zero Hour"
Melody Anderson,Actress,1955-12-3,"https://m.media-amazon.com/images/M/MV5BMjIxNjA0NjMxMF5BMl5BanBnXkFtZTcwNjM2NjczNA@@._V1_UY317_CR128,0,214,317_AL__QL50.jpg","Flash Gordon,Firewalker,Battlestar Galactica,Dead & Buried"
Peter Egan,Actor,1946-9-28,"https://m.media-amazon.com/images/M/MV5BMjE0MTQ4ODA5M15BMl5BanBnXkFtZTcwNTQxMDkwOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Wedding Date,Chariots of Fire,Lillie,The Hireling"
Alia Bhatt,Actress,1993-3-15,"https://m.media-amazon.com/images/M/MV5BZDJhOWNkNjQtNWJlMC00MWM3LWJmYjktMTIyYWI4NGYxNTBkXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_UY317_CR23,0,214,317_AL__QL50.jpg","Gully Boy,Highway,Dear Zindagi,Raazi"
Ilana Glazer,Actress,1987-4-12,"https://m.media-amazon.com/images/M/MV5BMTY5NzE3NzU3MF5BMl5BanBnXkFtZTgwMjg0NTQ5MDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Rough Night,Broad City,Broad City,Hack Into Broad City"
Dennis Rodman,Actor,1961-5-13,"https://m.media-amazon.com/images/M/MV5BMjE3NTQ0MjMxNl5BMl5BanBnXkFtZTcwNTA5MTQzMg@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Double Team,Simon Sez,The Comebacks,The Minis"
Jocelin Donahue,Actress,1981-11-8,"https://m.media-amazon.com/images/M/MV5BYTYyZGJhM2MtN2EyOC00OWE5LWE3ZDktNGZiMWM1N2UwNmQzXkEyXkFqcGdeQXVyMTM1ODI1MTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Doctor Sleep,The House of the Devil,Insidious: Chapter 2,The Frontier"
Shanola Hampton,Actress,1977-5-27,"https://m.media-amazon.com/images/M/MV5BMTA2Mjk0MDUxMTleQTJeQWpwZ15BbWU4MDgyMjYxMzcz._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Shameless,You Again,Things Never Said,Related"
Beverley Mitchell,Actress,1981-1-22,"https://m.media-amazon.com/images/M/MV5BMjAyMDQzODk2OF5BMl5BanBnXkFtZTcwMDA0OTU2Mw@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","7th Heaven,Saw II,The Crow: City of Angels,Right on Track"
Brendan Coyle,Actor,1963-12-2,"https://m.media-amazon.com/images/M/MV5BMjA2ODIxOTQ4N15BMl5BanBnXkFtZTcwOTI2NjYyNw@@._V1_UY317_CR5,0,214,317_AL__QL50.jpg","Downton Abbey,Me Before You,Lark Rise to Candleford,The Jacket"
Ann Sheridan,Actress,1915-2-21,"https://m.media-amazon.com/images/M/MV5BMTc3MDkwODM0NV5BMl5BanBnXkFtZTYwNzYyNDQ2._V1_UY317_CR23,0,214,317_AL__QL50.jpg","Kings Row,They Drive by Night,Shine on Harvest Moon,Angels with Dirty Faces"
Michael Kitchen,Actor,1948-10-31,"https://m.media-amazon.com/images/M/MV5BMTU2NTE3NjM5N15BMl5BanBnXkFtZTcwMzA4NzQwOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Out of Africa,GoldenEye,The World Is Not Enough,My Week with Marilyn"
Audie Murphy,Actor,1924-6-20,"https://m.media-amazon.com/images/M/MV5BMjQ1MTE0NTQxMl5BMl5BanBnXkFtZTgwMzI3NzUyMTI@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","Ride a Crooked Trail,Destry,No Name on the Bullet,To Hell and Back"
David Proval,Actor,1942-5-20,"https://m.media-amazon.com/images/M/MV5BMjE0MTU0NjU3Nl5BMl5BanBnXkFtZTYwNTgzNjY0._V1_UY317_CR1,0,214,317_AL__QL50.jpg","Mean Streets,The Shawshank Redemption,Four Rooms,The Phantom"
Orson Bean,Actor,1928-7-22,"https://m.media-amazon.com/images/M/MV5BNjY5MTIwMzAyMl5BMl5BanBnXkFtZTYwNDY5Mjgz._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Being John Malkovich,Innerspace,Anatomy of a Murder,Dr. Quinn, Medicine Woman"
Maria Pitillo,Actress,1966-1-8,"https://m.media-amazon.com/images/M/MV5BMTI3ODAxNjQ4NV5BMl5BanBnXkFtZTYwNDk1OTk2._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Godzilla,Chaplin,True Romance,Natural Born Killers"
Jenifer Lewis,Actress,1957-1-25,"https://m.media-amazon.com/images/M/MV5BMTcwNjQwMjUxN15BMl5BanBnXkFtZTYwODU3OTAz._V1_UY317_CR34,0,214,317_AL__QL50.jpg","The Princess and the Frog,Mystery Men,Black-ish,The Preacher's Wife"
Clifton Webb,Actor,1889-11-19,"https://m.media-amazon.com/images/M/MV5BMTQ1MzIxMDAzNF5BMl5BanBnXkFtZTcwNDQ3MDA1Nw@@._V1_UY317_CR97,0,214,317_AL__QL50.jpg","Laura,The Razor's Edge,Titanic,Stars and Stripes Forever"
John Glover,Actor,1944-8-7,"https://m.media-amazon.com/images/M/MV5BNDQ5NTUzOTQ4MF5BMl5BanBnXkFtZTYwNjUxNjIz._V1_UY317_CR1,0,214,317_AL__QL50.jpg","Scrooged,Gremlins 2: The New Batch,Payback,In the Mouth of Madness"
Renee Olstead,Actress,1989-6-18,"https://m.media-amazon.com/images/M/MV5BMjExMDk4Nzc5NV5BMl5BanBnXkFtZTgwNTEwOTMxNDE@._V1_UY317_CR22,0,214,317_AL__QL50.jpg","Unfriended,Still Standing,13 Going on 30,Space Cowboys"
Tom Rosenthal,Actor,1988-1-14,"https://m.media-amazon.com/images/M/MV5BMTgwMzg5Mzk0M15BMl5BanBnXkFtZTgwNTg5NDE0ODE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","Friday Night Dinner,Bridget Jones's Baby,Plebs,Flat TV"
Alberto Ammann,Actor,1978-10-20,"https://m.media-amazon.com/images/M/MV5BMTkxOTgzODU2M15BMl5BanBnXkFtZTcwNTM2Nzg0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Cell 211,Narcos,The Outlaw,Mars"
Jack Whitehall,Actor,1988-7-7,"https://m.media-amazon.com/images/M/MV5BOTA3MzMzOTMzNF5BMl5BanBnXkFtZTgwMDExMjIwODE@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","The Bad Education Movie,Fresh Meat,Bad Education,Mother's Day"
Callum Blue,Actor,1977-8-19,"https://m.media-amazon.com/images/M/MV5BOTRkYzkxNzgtZTM1ZS00ZTg0LTk2YTUtMGEwOWZmYzQ1OTljXkEyXkFqcGdeQXVyNzY4NDU1NTc@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Princess Diaries 2: Royal Engagement,Colombiana,Dead Like Me,Smallville"
Li Jun Li,Actress,,"https://m.media-amazon.com/images/M/MV5BYmU4NzJlNzYtNGI2Ni00NGFhLWFkNzAtMDA4ZDZhZjRkNmMxXkEyXkFqcGdeQXVyMTgyNzkyMTE@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Why Women Kill,The Exorcist,Wu Assassins"
Sam J. Jones,Actor,1954-8-12,"https://m.media-amazon.com/images/M/MV5BMTMzYmI4YmYtM2Y3Yi00ODFiLThkMjItNDc2N2Q2YTExOGQ2XkEyXkFqcGdeQXVyMjA4NDQxOTg@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Flash Gordon,Ted,Jane and the Lost City,Code Red"
Terry Serpico,Actor,,"https://m.media-amazon.com/images/M/MV5BNDg0MjQ4MzgyM15BMl5BanBnXkFtZTgwMTg2MzY5OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Army Wives,The Purge: Election Year,Yellowstone,Homeland"
Ahna O'Reilly,Actress,1984-9-21,"https://m.media-amazon.com/images/M/MV5BOGFmNmU1MzYtYzA2My00OThmLThkZWQtNzEyY2RlMzkyMGFlXkEyXkFqcGdeQXVyODcyMzgwOQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","The Help,Forgetting Sarah Marshall,Fruitvale Station,Jobs"
Cynthia Gibb,Actress,,"https://m.media-amazon.com/images/M/MV5BMTIwOTE5Mzk4MF5BMl5BanBnXkFtZTYwMTc5MzQz._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Fame,Salvador,Gypsy,Death Warrant"
Caroline Aaron,Actress,1952-8-7,"https://m.media-amazon.com/images/M/MV5BMTQyNzkyNTYxOF5BMl5BanBnXkFtZTcwNjE1OTI0Mw@@._V1_UY317_CR124,0,214,317_AL__QL50.jpg","21 Jump Street,Edward Scissorhands,Sleepless in Seattle,Deconstructing Harry"
Jane Birkin,Actress,1946-12-14,"https://m.media-amazon.com/images/M/MV5BMTQ4MDM3NjczOV5BMl5BanBnXkFtZTcwNTQ0MDgwNA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Evil Under the Sun,Blow-Up,Death on the Nile,Boxes"
Tyler James Williams,Actor,1992-10-9,"https://m.media-amazon.com/images/M/MV5BODYzNTQyMDk3N15BMl5BanBnXkFtZTgwMDEwMDIxNzM@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Dear White People,Unaccompanied Minors,Everybody Hates Chris,Detroit"
Cameron Bright,Actor,1993-1-26,"https://m.media-amazon.com/images/M/MV5BMTk2NjE4NDA3N15BMl5BanBnXkFtZTcwNDE5ODk5Mg@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","Thank You for Smoking,Running Scared,Birth,X-Men: The Last Stand"
Mike Epps,Actor,1970-11-18,"https://m.media-amazon.com/images/M/MV5BMTY5MjEzOTQyNF5BMl5BanBnXkFtZTYwNjM1MjU0._V1_UY317_CR3,0,214,317_AL__QL50.jpg","Resident Evil: Apocalypse,Resident Evil: Extinction,The Hangover,Next Friday"
Blake Clark,Actor,1946-2-2,"https://m.media-amazon.com/images/M/MV5BNjY2NTc4NDcyOF5BMl5BanBnXkFtZTcwMDc2MjcyOA@@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","50 First Dates,The Waterboy,I Now Pronounce You Chuck & Larry,Toys"
Linda Lavin,Actress,1937-10-15,"https://m.media-amazon.com/images/M/MV5BNTE3NjkzOTM2Nl5BMl5BanBnXkFtZTgwMTAzMTA5MzI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Alice,The Back-up Plan,The Good Wife,The Muppets Take Manhattan"
Jake Davies,Actor,1993-7-9,,"A Brilliant Young Mind,Ghost Stories,The Missing,Black Mirror"
Ray Walston,Actor,1914-12-2,"https://m.media-amazon.com/images/M/MV5BMTIwMzIzNzAxM15BMl5BanBnXkFtZTYwNzg5NTM2._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Popeye,Fast Times at Ridgemont High,The Sting,Paint Your Wagon"
Dulquer Salmaan,Actor,1986-7-28,"https://m.media-amazon.com/images/M/MV5BNWRkMDdjNTYtYTk5ZS00ZThlLTlhMDctZGQ1YTI1NjE0MGUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","Charlie,Vaayai Moodi Pesavum,Karwaan,Kali"
Max Carver,Actor,1988-8-1,"https://m.media-amazon.com/images/M/MV5BOTE2YmQ5YWItNjFhZC00Y2JkLTg2NGMtMjBkNGJlOGNjMGQ3XkEyXkFqcGdeQXVyMjE4ODc1NTQ@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","The Batman,The Leftovers,Teen Wolf,Ask Me Anything"
Mitchel Musso,Actor,1991-7-9,"https://m.media-amazon.com/images/M/MV5BMTc0ODQ4NDE2NV5BMl5BanBnXkFtZTcwNDU3Mjg4Mw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Pair of Kings,Monster House,Secondhand Lions"
Nuri Bilge Ceylan,Director,1959-1-26,"https://m.media-amazon.com/images/M/MV5BMTQyODY0OTM5NV5BMl5BanBnXkFtZTgwMzg2ODY4MTE@._V1_UY317_CR6,0,214,317_AL__QL50.jpg","Once Upon a Time in Anatolia,Winter Sleep,Three Monkeys,Uzak"
Cara Pifko,Actress,1976-3-15,"https://m.media-amazon.com/images/M/MV5BMTI3MjQ1MDYwNV5BMl5BanBnXkFtZTYwNDk4MTgy._V1_UY317_CR130,0,214,317_AL__QL50.jpg","Ready Player One,This Is Wonderland,Human Cargo,Paranormal Activity: The Ghost Dimension"
Andy Bean,Actor,,"https://m.media-amazon.com/images/M/MV5BMTY1MDYzMjY3MF5BMl5BanBnXkFtZTgwNTExNzc5MTE@._V1_UY317_CR121,0,214,317_AL__QL50.jpg","Here and Now,Power,It Chapter Two,Poor Boy"
Alisha Boe,Actress,1997-3-6,"https://m.media-amazon.com/images/M/MV5BNDYzMTNkY2QtYjdhMy00NWQ1LTk5MjItYjJlMDM1N2RiYThjXkEyXkFqcGdeQXVyMTQ3NzgyNzU@._V1_UY317_CR50,0,214,317_AL__QL50.jpg","13 Reasons Why,68 Kill,Casual,Ray Donovan"
Eminem,Soundtrack,1972-10-17,"https://m.media-amazon.com/images/M/MV5BMjI0MDAxMDYwOV5BMl5BanBnXkFtZTcwMTQ1MjE2Mw@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","8 Mile,Funny People,Fast Five,Cradle 2 the Grave"
Dallas Jenkins,Director,,"https://m.media-amazon.com/images/M/MV5BMTM5MDg1NDEyOF5BMl5BanBnXkFtZTcwNTkwNDk1Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","The Resurrection of Gavin Stone,What If...,The Ride,Hometown Legend"
Harriet Dyer,Actress,,"https://m.media-amazon.com/images/M/MV5BZjhlZTFiZDAtMWVlMi00MzYxLWI1ZjItOThiNzkyMjZlYTEwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR105,0,214,317_AL__QL50.jpg","No Activity,The Invisible Man,Love Child,Kiki and Kitty"
Jill Goodacre,Actress,1964-3-29,"https://m.media-amazon.com/images/M/MV5BMTYxOTI0NDA2Ml5BMl5BanBnXkFtZTcwNjk0MDYxMw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Friends,Harry Connick Jr.: The New York Big Band Concert,Odd Jobs,Camp Wilder"
Victoria Pratt,Actress,1970-12-18,"https://m.media-amazon.com/images/M/MV5BMzcyMTI1ODcxNV5BMl5BanBnXkFtZTYwNTE4MzAz._V1_UY317_CR4,0,214,317_AL__QL50.jpg","Mutant X,Day Break,Dracano,Journey to the Center of the Earth"
Joseph Mawle,Actor,1974-3-21,"https://m.media-amazon.com/images/M/MV5BMWI4NTBmNTMtYzllYy00OGM2LWJkZTctNmNhNWI1NjhkNjgzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR23,0,214,317_AL__QL50.jpg","Game of Thrones,Birdsong,In the Heart of the Sea,Ripper Street"
Charlene Amoia,Actress,1969-12-31,"https://m.media-amazon.com/images/M/MV5BZTBkMjkyMDctNzU3My00Y2Y2LThkZWItNGFhMWM4MzRmZWU5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,The Conjuring: The Devil Made Me Do It,How I Met Your Mother,American Reunion"
Maeve Dermody,Actress,1985-11-2,"https://m.media-amazon.com/images/M/MV5BZTIxYmMyZDMtMDE5NS00MGZhLWEwZDItOTM0ODhkNzNjZDVhXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","Beautiful Kate,Black Water"
Drew Seeley,Actor,1982-4-30,"https://m.media-amazon.com/images/M/MV5BMTI5NDQzNDU3Nl5BMl5BanBnXkFtZTcwNTQ1ODEzMQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Pitch Perfect,Another Cinderella Story,I Kissed a Vampire,I Kissed a Vampire"
Ryan Coogler,Director,1986-5-23,"https://m.media-amazon.com/images/M/MV5BMjI2MTYyNzU1MV5BMl5BanBnXkFtZTgwNTE4NzI5NzE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Black Panther,Creed,Fruitvale Station,Creed II"
Anthony Zerbe,Actor,1936-5-20,"https://m.media-amazon.com/images/M/MV5BMTc4NDI0NDk4Nl5BMl5BanBnXkFtZTgwOTg0MjMzMDE@._V1_UY317_CR14,0,214,317_AL__QL50.jpg","The Ωmega Man,The Matrix Reloaded,Licence to Kill,Papillon"
Leigh-Allyn Baker,Actress,1972-3-13,"https://m.media-amazon.com/images/M/MV5BZWQzNWRhZTctYjY3Ny00NjA0LWFmM2QtNTVmOTBhNDJiY2MwXkEyXkFqcGdeQXVyMTY4NTMwMDQ@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","Will & Grace,Good Luck Charlie,The 7D,God of War II"
Zoe Telford,Actress,1973-0-0,"https://m.media-amazon.com/images/M/MV5BNThjNjZhMDctOTFjNi00MDY5LWFkOGYtZTM3YWYzZDRiMDZmXkEyXkFqcGdeQXVyMTQxMjk0Mg@@._V1_UY317_CR91,0,214,317_AL__QL50.jpg","Genius,Greyhawk,Jo,Sherlock"
Patrick Wayne,Actor,1939-7-15,"https://m.media-amazon.com/images/M/MV5BMTQ0MzM2Mzc0Ml5BMl5BanBnXkFtZTcwMjY2NDQyOA@@._V1_UY317_CR13,0,214,317_AL__QL50.jpg","The Searchers,McLintock!,Young Guns,Big Jake"
Richard Lynch,Actor,1940-2-12,"https://m.media-amazon.com/images/M/MV5BMTM5MjY3MzQ2MF5BMl5BanBnXkFtZTcwNzAzNDYxOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Halloween,The Sword and the Sorcerer,Invasion U.S.A.,Deathsport"
Alex Hirsch,Writer,1985-6-18,"https://m.media-amazon.com/images/M/MV5BNTgyNjhlMmQtNGZjMi00MjE1LTg5MDEtOTRkOTU0NzY1MWEyXkEyXkFqcGdeQXVyOTYwMjczODY@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","Gravity Falls,Gravity Falls Shorts,Rick and Morty,The Marvelous Misadventures of Flapjack"
Anton Lesser,Actor,1952-2-14,"https://m.media-amazon.com/images/M/MV5BMTM4NDYzODU1MF5BMl5BanBnXkFtZTcwOTAwMDIxOA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Pirates of the Caribbean: On Stranger Tides,Game of Thrones,Miss Potter,Allied"
Denis Lawson,Actor,1947-9-27,"https://m.media-amazon.com/images/M/MV5BMTQyMDE3NjA0OF5BMl5BanBnXkFtZTcwNDY0MTUwOA@@._V1_UY317_CR32,0,214,317_AL__QL50.jpg","Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode V - The Empire Strikes Back,The Machine"
David Del Rio,Actor,,"https://m.media-amazon.com/images/M/MV5BZGUyNGEzNjMtMTY0Ni00YTE0LTk5N2YtMDRjOWQxNDk3YjY2XkEyXkFqcGdeQXVyNDA5NzY0Njg@._V1_UY317_CR13,0,214,317_AL__QL50.jpg","The Baker and the Beauty,Pitch Perfect,Grease Live!,The Belko Experiment"
Krzysztof Kieslowski,Writer,1941-6-27,"https://m.media-amazon.com/images/M/MV5BNzgyMjE0MDk5MF5BMl5BanBnXkFtZTcwNjcwNDg3Mw@@._V1_UY317_CR10,0,214,317_AL__QL50.jpg","Three Colors: Blue,The Double Life of Véronique,Three Colors: Red,Three Colors: White"
Lisa Blount,Actress,1957-7-1,"https://m.media-amazon.com/images/M/MV5BMTg2NzMyMTYxMV5BMl5BanBnXkFtZTcwNDM2MjQwNA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","An Officer and a Gentleman,Prince of Darkness,Chrystal,Profit"
Bill Paterson,Actor,1945-6-3,"https://m.media-amazon.com/images/M/MV5BZjA2NjUzYmMtMjAzYS00NDk3LWE0NjUtNTQ5YjQ2Y2Y4ZmU1XkEyXkFqcGdeQXVyOTk5NTIzNzg@._V1_UY317_CR54,0,214,317_AL__QL50.jpg","The Witches,How to Lose Friends & Alienate People,Miss Potter,Kingdom of Heaven"
Trevor Einhorn,Actor,1988-11-3,"https://m.media-amazon.com/images/M/MV5BZjM2YTk2MDctN2YyMS00NzNjLTllYmEtMTViYzk3YTJmZjM2XkEyXkFqcGdeQXVyMTg1ODYxNDc@._V1_UY317_CR130,0,214,317_AL__QL50.jpg","Mad Men,The Magicians,Frasier,Dirty Dancing"
George Chakiris,Actor,1934-9-16,"https://m.media-amazon.com/images/M/MV5BNTg4Y2Y2ODEtYTJlYi00ZWIyLThjNzMtZTIzZmFhM2E0YzBmXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR27,0,214,317_AL__QL50.jpg","West Side Story,The Young Girls of Rochefort,Meet Me in Las Vegas,The Big Cube"
Liesel Matthews,Actress,1984-3-14,"https://m.media-amazon.com/images/M/MV5BMTY1MDAyMjU2NV5BMl5BanBnXkFtZTcwNjIyNzgwMw@@._V1_UY317_CR29,0,214,317_AL__QL50.jpg","A Little Princess,Air Force One,Blast,E! True Hollywood Story"
Michael Jackson,Soundtrack,1958-8-29,"https://m.media-amazon.com/images/M/MV5BMTM1NjExNjg1OV5BMl5BanBnXkFtZTcwMTQ0NzIwMw@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg","Michael Jackson: Thriller,Moonwalker,This Is It,The Wiz"
Mathilda May,Actress,1965-2-8,"https://m.media-amazon.com/images/M/MV5BMTQyNDk4ODgzOV5BMl5BanBnXkFtZTYwOTkwMzM1._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Lifeforce,The Jackal,The Cry of the Owl,Isabelle Eberhardt"
Mehdi Dehbi,Actor,,"https://m.media-amazon.com/images/M/MV5BNzlkZDc2OGYtMDE1ZC00NmUwLThkMzUtOGNkY2IyNjJmOThhXkEyXkFqcGdeQXVyODQ4Mjc0Mjg@._V1_UY317_CR175,0,214,317_AL__QL50.jpg","A Most Wanted Man,The Other Son,Messiah,L'infiltré"
Angela Trimbur,Actress,1981-7-19,"https://m.media-amazon.com/images/M/MV5BYzRkNzhhMjQtMzVmMS00MzA2LTliMDMtNWE1OTIzN2RmOGFjXkEyXkFqcGdeQXVyMTY2OTUzMDk@._V1_UY317_CR35,0,214,317_AL__QL50.jpg","The Final Girls,The Good Place,Under the Silver Lake,The Future"
Renée Taylor,Actress,1933-3-19,"https://m.media-amazon.com/images/M/MV5BMjA1NjM4MjczMF5BMl5BanBnXkFtZTYwNjgwODkz._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Nanny,The Do-Over,The Producers,Made for Each Other"
Anita Barone,Actress,1964-9-25,"https://m.media-amazon.com/images/M/MV5BNzlkZDY0MzItMmQ4ZC00NjY5LTgwNDEtMjU1ZjdjOGRkYWIwXkEyXkFqcGdeQXVyMTM5NzMyNQ@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","The War at Home,Friends,One Last Ride,The Sex Monster"
